dataset,seed,class_id,train_count,rarity,ce_accuracy,ce_error,selected_la_accuracy,la_minus_ce,ltlc_tau,ltlc_alpha,same_tau_la_accuracy,ltlc_accuracy,adaptive_alpha_gain
Qingyun,42,5,15220,0.0449476485497715,0.5195300579798596,0.4804699420201404,0.5193774794018919,-0.00015257857796768803,2.0,0.0,0.5193774794018919,0.5193774794018919,0.0
Qingyun,42,6,15555,0.04104377802184803,0.8540934530782247,0.1459065469217753,0.8190810881166211,-0.03501236496160365,2.0,0.0,0.8190810881166211,0.8190810881166211,0.0
Qingyun,123,1,19556,0.0,0.7732720009684058,0.22672799903159424,0.7643142476697736,-0.008957753298632132,0.25,0.5,0.7695194286406004,0.7678247185570755,-0.001694710083524953
Qingyun,123,2,11807,0.09047733051002957,0.8300167379579692,0.16998326204203085,0.8240654640133903,-0.005951273944578839,0.25,0.5,0.8266691463641436,0.8257392598103032,-0.0009298865538404089
Qingyun,123,3,967,0.5391525634445293,0.5617433414043583,0.43825665859564167,0.5883777239709443,0.026634382566586012,0.25,0.5,0.5714285714285714,0.5811138014527845,0.009685230024213065
Qingyun,123,4,74,1.0,1.0,0.0,1.0,0.0,0.25,0.5,1.0,1.0,0.0
Qingyun,123,5,15220,0.0449476485497715,0.5059505645407385,0.4940494354592615,0.504424778761062,-0.0015257857796765473,0.25,0.5,0.5048825144949649,0.5045773573390296,-0.00030515715593526505
Qingyun,123,6,15555,0.04104377802184803,0.8348301444748145,0.16516985552518548,0.8267603800598724,-0.008069764414942115,0.25,0.5,0.8313158922295978,0.8294936873617077,-0.001822204867890087
Qingyun,3407,1,19556,0.0,0.7684299721583343,0.2315700278416657,0.7684299721583343,0.0,0.0,0.0,0.7684299721583343,0.7684299721583343,0.0
Qingyun,3407,2,11807,0.09047733051002957,0.8915752278222057,0.10842477217779434,0.8915752278222057,0.0,0.0,0.0,0.8915752278222057,0.8915752278222057,0.0
Qingyun,3407,3,967,0.5391525634445293,0.4745762711864407,0.5254237288135593,0.4745762711864407,0.0,0.0,0.0,0.4745762711864407,0.4745762711864407,0.0
Qingyun,3407,4,74,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Qingyun,3407,5,15220,0.0449476485497715,0.5196826365578273,0.4803173634421727,0.5196826365578273,0.0,0.0,0.0,0.5196826365578273,0.5196826365578273,0.0
Qingyun,3407,6,15555,0.04104377802184803,0.8258492776259274,0.1741507223740726,0.8258492776259274,0.0,0.0,0.0,0.8258492776259274,0.8258492776259274,0.0
